CustomerKey,Gender,Name,City,State_Code,State,Country,Continent,Birthday,Age
1200334,Male,Micheal Boyers,Los Angeles,CA,California,United States,North America,30-09-1989,36
1200992,Female,Alice Payton,Los Angeles,CA,California,United States,North America,03-12-1952,73
1203510,Female,Allison Flores,Los Angeles,CA,California,United States,North America,25-04-1954,71
1212939,Female,Hannah Aiello,Los Angeles,CA,California,United States,North America,09-09-1996,29
1215249,Male,Adam Walker,Los Angeles,CA,California,United States,North America,22-05-1937,88
1230014,Male,Nathan Crowder,Los Angeles,CA,California,United States,North America,26-10-1973,52
1234917,Male,Donald Roberts,Los Angeles,CA,California,United States,North America,30-01-1976,50
1242927,Male,Jeffrey White,Los Angeles,CA,California,United States,North America,20-02-1982,44
1244511,Male,Eddie Burgess,Los Angeles,CA,California,United States,North America,20-12-1995,30
1251791,Male,Bruce George,Los Angeles,CA,California,United States,North America,29-04-1942,83
1254624,Female,Gloria Hughey,Los Angeles,CA,California,United States,North America,07-10-1938,87
1268744,Female,Judy Hoag,Los Angeles,CA,California,United States,North America,21-07-1974,51
1284640,Female,Velma Kreps,Los Angeles,CA,California,United States,North America,10-05-1973,52
1301565,Male,Daniel Spencer,Los Angeles,CA,California,United States,North America,23-06-1980,45
1304093,Male,Richard Bish,Los Angeles,CA,California,United States,North America,15-09-1943,82
1306550,Female,Maryann Gaines,Los Angeles,CA,California,United States,North America,23-08-1977,48
1316622,Male,Brain Allen,Los Angeles,CA,California,United States,North America,09-03-1978,48
1318772,Male,Jerome Connell,Los Angeles,CA,California,United States,North America,13-04-1982,43
1322330,Female,Maya Gomez,Los Angeles,CA,California,United States,North America,18-02-1983,43
1334070,Female,Pamela Jensen,Los Angeles,CA,California,United States,North America,27-11-1935,90
1340597,Female,Lucia Atherton,Los Angeles,CA,California,United States,North America,11-07-1979,46
1346408,Male,James Mort,Los Angeles,CA,California,United States,North America,26-04-1935,90
1356695,Male,Gerardo Simpson,Los Angeles,CA,California,United States,North America,16-10-2000,25
1357970,Male,Joseph Villeneuve,Los Angeles,CA,California,United States,North America,15-08-1992,33
1364466,Male,Wilson Stanley,Los Angeles,CA,California,United States,North America,04-07-1991,34
1398234,Male,John Smith,Los Angeles,CA,California,United States,North America,19-04-1962,63
1400721,Female,Eva Dale,Los Angeles,CA,California,United States,North America,08-10-1996,29
1404266,Male,Martin Quisenberry,Los Angeles,CA,California,United States,North America,28-02-1993,33
1410879,Female,Marianne Grogan,Los Angeles,CA,California,United States,North America,13-07-1974,51
1412924,Male,Craig Romero,Los Angeles,CA,California,United States,North America,11-09-1968,57
